"","EC","ARS","BQF","BQS","BQS1","BR1F","BRF1","BRF2","BRS1","BRS2","CYF","CYS","EPF","EPS","ESF9","ETS","FAS","MTF","PBS","PFF","PFS","PGF","PGS","PLS","QH2F","QHS1","QHS2","QNF","QNS","RSF","RSS","RVF","SIF","SIS","SLF","SLS","TCF","TCS"
"323","2.1.1.133",78,3,11,NA,283,1416,152,44,87,233,282,118,178,163,32,44,367,31,153,31,327,599,18,366,12,74,293,175,151,79,147,95,132,174,20,252,20
"324","2.1.1.156",NA,NA,NA,NA,9,2,6,NA,2,7,113,2,6,NA,1,12,4,NA,2,NA,NA,9,NA,NA,29,3,2,2,4,NA,NA,NA,NA,66,NA,NA,NA
"325","2.1.1.161",NA,NA,NA,NA,5,2,6,NA,NA,NA,36,NA,NA,1,NA,2,NA,NA,3,NA,NA,2,NA,NA,10,2,NA,NA,3,NA,NA,1,NA,24,NA,1,NA
"326","2.1.1.163",10,3,NA,NA,22,23,116,24,51,11,43,7,27,6,7,38,27,16,55,33,6,21,7,4,20,NA,50,49,12,11,72,7,4,28,5,33,17
"327","2.1.1.166",49,NA,28,2,137,312,635,68,207,45,179,243,205,356,65,20,87,350,392,155,106,260,121,5508,2378,657,692,754,57,26,690,532,124,98,3,288,66
"328","2.1.1.170",37,NA,8,NA,173,347,349,218,464,476,101,120,157,157,49,384,618,112,156,53,18,109,174,1262,386,153,232,196,101,101,160,207,226,114,57,192,179
"329","2.1.1.171",97,2,26,NA,119,432,335,55,175,43,269,196,339,302,96,86,110,28,351,186,88,340,46,1813,2493,363,484,637,114,115,457,335,192,159,12,319,38
"330","2.1.1.173",93,NA,16,NA,66,83,150,22,102,14,226,81,172,204,107,45,73,11,231,217,55,396,74,134,1447,258,279,820,91,127,54,249,207,103,7,154,40
"331","2.1.1.174",11,NA,NA,NA,44,86,24,NA,NA,NA,NA,NA,13,7,NA,NA,NA,NA,5,2,9,NA,NA,2,NA,1,42,12,3,1,7,4,NA,7,NA,21,NA
"332","2.1.1.176",112,1,8,1,221,416,708,177,433,1196,301,226,395,269,127,86,1312,175,482,255,126,272,373,3124,2107,535,670,1117,108,50,495,237,186,217,15,416,281
"333","2.1.1.177",73,1,2,NA,68,414,409,28,102,19,126,102,143,474,14,26,73,237,224,124,71,159,45,3077,110,395,362,351,21,19,476,628,49,86,2,192,46
"334","2.1.1.178",6,445,348,519,330,172,46,241,184,1484,71,47,133,41,22,265,1274,NA,97,35,8,47,464,122,458,125,49,148,125,92,25,26,897,249,59,279,410
"335","2.1.1.179",NA,NA,NA,NA,NA,NA,1,NA,3,4,NA,NA,NA,1,1,6,NA,NA,1,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA
"336","2.1.1.181",NA,NA,18,NA,43,101,222,NA,NA,NA,4,14,7,22,NA,NA,20,2,53,55,35,82,68,NA,NA,NA,124,580,27,2,27,19,NA,5,NA,120,30
"337","2.1.1.182",233,67,201,45,372,1661,1415,104,504,478,302,535,704,2990,110,114,1238,326,1177,588,201,584,2940,3346,6642,954,1716,2525,69,70,1356,4534,376,357,21,1000,1063
"338","2.1.1.185",330,NA,83,NA,275,803,1006,199,526,202,766,588,942,1352,178,261,415,534,1038,537,204,716,255,4767,4309,1240,1170,2000,176,229,851,1827,597,296,40,748,156
"339","2.1.1.186",8,NA,2,NA,66,258,198,3,11,2,13,39,29,27,NA,2,28,9,113,124,22,25,65,45,1,19,101,557,18,6,26,23,2,10,NA,66,14
"340","2.1.1.187",NA,NA,NA,NA,31,111,79,NA,NA,NA,3,5,2,12,NA,NA,8,4,25,3,6,2,NA,NA,NA,NA,33,5,8,NA,25,8,1,NA,NA,30,3
"341","2.1.1.189",NA,NA,NA,NA,52,204,71,NA,4,1,1,2,NA,32,2,NA,4,NA,11,NA,4,NA,NA,73,NA,8,8,3,25,NA,3,16,NA,2,NA,9,1
"342","2.1.1.190",50,NA,18,NA,159,536,418,91,237,40,160,110,303,503,31,78,143,193,376,141,54,204,83,2146,2169,459,451,656,77,64,393,676,112,73,5,256,77
"343","2.1.1.191",40,NA,32,NA,288,439,207,190,573,273,199,114,315,657,75,416,202,14,389,253,50,329,379,315,2123,561,295,863,206,176,50,800,335,279,89,266,503
"344","2.1.1.192",519,9,148,NA,798,1763,2785,511,1186,1131,1350,1123,1460,2296,376,632,1375,452,2108,927,478,1497,2354,8136,10899,1880,2643,3375,525,449,2812,3357,1079,734,128,1557,1247
"345","2.1.1.193",1,NA,NA,NA,64,130,90,6,23,28,15,18,7,5,4,NA,6,NA,54,21,11,11,9,26,21,7,82,83,12,1,35,7,NA,5,NA,56,11
"346","2.1.1.196",NA,49,7,26,53,55,3,103,3,47,6,1,13,NA,27,23,1,17,1,1,NA,4,13,NA,NA,NA,4,3,2,2,NA,NA,1,4,6,15,18
"347","2.1.1.197",NA,NA,NA,NA,11,3,2,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,9,NA,2,2,NA,NA,NA,3,1
"348","2.1.1.198",383,8,109,NA,1042,1144,1257,1103,1459,1186,1508,873,1334,768,475,1604,1285,292,1280,565,247,1390,1904,3492,5726,979,1054,1512,725,608,987,890,1627,654,315,1030,1083
"349","2.1.1.199",714,10,93,NA,1126,1766,1556,901,1683,761,1180,1272,1756,3047,585,1527,980,682,2082,919,471,1719,696,6180,8440,1692,2225,2804,954,741,1320,4262,1645,855,398,1432,580
"350","2.1.1.200",33,7,6,NA,110,382,407,57,176,24,99,201,234,135,31,11,59,257,259,146,51,111,62,3121,2365,543,437,464,36,26,367,138,69,71,3,231,71
"351","2.1.1.207",227,1,55,NA,210,645,942,81,421,157,312,374,397,1283,289,103,330,709,821,417,137,464,163,4139,4885,510,820,1175,107,87,837,2044,293,216,15,481,96
"352","2.1.1.210",NA,NA,1,NA,7,3,2,2,NA,28,9,NA,7,65,NA,1,10,4,2,2,50,21,NA,NA,NA,1,5,1,2,3,1,36,36,9,1,15,1
"353","2.1.1.215",NA,8,10,17,2,1,10,8,27,NA,1,6,3,2,1,12,3,NA,17,6,1,10,2,2,NA,2,NA,NA,12,5,3,1,11,3,23,8,1
"354","2.1.1.217",NA,NA,NA,NA,5,12,17,NA,NA,4,8,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,7,NA,2,NA
"355","2.1.1.220",102,405,327,560,221,141,51,282,284,783,360,49,111,24,280,298,895,12,92,26,6,43,146,7,684,1,108,113,104,60,26,13,508,157,59,316,167
"356","2.1.1.223",NA,1,NA,NA,27,94,48,NA,1,1,27,2,17,26,2,1,10,2,25,11,14,8,2,8,544,21,27,48,12,14,4,13,21,9,NA,11,5
"357","2.1.1.228",1230,7,287,1,2370,2038,2632,2540,3683,2771,3548,2347,3776,1976,1451,3560,2655,1117,3398,1480,893,3597,4352,8423,13861,2634,3497,4717,2076,1760,2146,2374,3856,1762,677,2503,2643
"358","2.1.1.242",18,NA,NA,NA,48,153,180,NA,NA,1,17,25,19,23,3,2,15,3,64,16,19,5,5,3433,NA,383,29,28,2,5,28,24,2,11,1,107,5
"359","2.1.1.254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"360","2.1.1.255",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"361","2.1.1.264",41,NA,25,NA,26,78,515,3,28,5,140,86,259,52,24,9,69,10,152,64,64,139,20,1271,69,155,263,367,124,119,467,35,64,54,2,189,24
"362","2.1.1.265",NA,NA,NA,NA,20,10,1,NA,NA,NA,NA,NA,2,7,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,15,2,8,2,12,NA,NA,1,NA,6,NA
"363","2.1.1.266",17,NA,9,NA,129,433,234,34,137,23,47,147,212,479,7,12,100,13,371,117,54,141,115,1517,2053,367,509,751,40,23,54,657,88,39,2,138,54
"364","2.1.1.269",9,NA,1,NA,4,NA,NA,2,3,8,38,1,4,NA,4,NA,NA,NA,4,NA,2,21,1,NA,NA,2,12,7,5,NA,2,NA,1,7,NA,1,2
"365","2.1.1.271",31,49,34,66,94,44,146,84,338,60,142,228,475,22,85,178,202,21,120,53,15,97,30,100,123,143,48,61,193,214,30,23,373,66,40,52,22
"366","2.1.1.289",NA,NA,NA,NA,5,1,NA,1,NA,NA,22,20,40,2,NA,1,1,NA,3,NA,2,2,NA,1,1,7,2,NA,12,16,NA,2,87,1,NA,6,2
"367","2.1.1.295",1,1,NA,NA,7,5,9,NA,3,19,112,4,1,35,NA,20,6,NA,27,30,5,22,1,1,2542,NA,15,3,11,5,NA,15,68,10,NA,14,2
"368","2.1.1.297",31,NA,8,NA,134,211,233,129,206,346,258,200,225,153,41,127,426,8,327,181,53,247,862,2779,1131,383,388,836,109,78,121,184,165,132,31,258,360
"369","2.1.1.298",41,NA,22,NA,159,517,1008,69,320,25,164,289,309,180,24,27,111,347,443,166,74,258,105,4331,2074,630,640,676,38,36,1343,201,96,82,4,393,93
"370","2.1.1.35",NA,1,NA,NA,63,288,822,NA,2,3,8,3,4,34,NA,1,30,2,36,9,22,1,3,20,NA,NA,136,130,17,2,1404,32,1,7,NA,183,29
"371","2.1.1.37",34,1054,793,911,37,158,30,16,15,185,83,69,87,53,39,19,42,118,103,50,46,120,27,21,62,24,196,121,31,50,67,57,117,33,4,64,12
"372","2.1.1.44",225,3,28,NA,92,33,61,78,166,99,915,111,205,73,173,228,92,52,235,121,72,486,15,941,486,163,356,303,162,138,80,58,103,187,20,302,23
"373","2.1.1.45",1040,12,322,2,1407,2060,3078,603,1897,1512,3475,2016,2591,4082,627,1201,1383,282,4195,2126,773,2518,764,10759,16608,3999,5101,5315,1216,1030,3452,5763,2741,1411,128,3070,760
"374","2.1.1.61",36,NA,19,NA,96,136,424,NA,42,23,30,47,70,55,8,6,28,NA,112,117,29,55,20,1395,423,178,82,136,7,7,484,33,28,31,NA,132,15
"375","2.1.1.63",568,1,201,NA,286,292,976,178,529,166,1109,449,805,1137,461,689,263,325,882,348,169,1511,153,933,1012,323,864,1259,551,470,1258,1507,904,463,93,596,140
"376","2.1.1.72",298,NA,43,NA,641,284,319,666,739,450,635,871,1258,240,342,1147,317,413,737,408,202,863,290,2632,2222,1725,529,701,619,618,236,233,1547,397,144,489,269
"377","2.1.1.74",448,8,230,2,1354,754,884,1683,2865,2988,3092,765,2044,340,1066,2598,2524,174,1560,531,275,2455,4775,296,5376,555,1014,1656,1374,1205,311,299,2305,1500,583,1520,3118
"378","2.1.1.77",447,8,152,8,1078,840,815,1116,2556,841,2317,1317,1879,386,748,2698,555,214,1204,492,127,1706,370,2382,7863,755,770,1169,1085,926,255,453,2090,938,493,797,558
"379","2.1.1.79",60,NA,16,NA,91,285,29,32,49,25,145,35,81,44,54,40,146,38,99,28,56,274,25,6,58,27,127,196,48,48,40,26,120,112,9,175,51
"380","2.1.1.80",5,NA,1,NA,47,156,312,22,53,9,38,10,13,35,7,5,23,16,53,18,17,41,11,62,23,28,56,40,13,6,40,30,17,19,1,44,31
"381","2.1.2.1",3826,28,986,26,7254,6206,7123,7033,9600,8209,10783,6124,10052,5692,4249,10833,8304,3013,8798,4030,2284,10627,10961,18114,34895,6655,8739,10523,5989,4579,5910,7506,8143,4804,1692,7463,9272
"382","2.1.2.10",720,8,148,NA,1507,1361,1040,1574,1904,887,1870,1036,1560,621,762,2532,843,810,1912,849,268,2086,559,7539,11626,1844,1388,2492,782,711,295,659,1626,866,605,1366,552
"383","2.1.2.11",614,12,177,5,2041,1942,1955,1880,2595,1915,2429,1265,2534,1639,992,3378,1703,218,1781,1030,347,2287,2606,3767,9076,1842,1818,2853,1357,1212,1900,1936,2127,1254,618,1678,2113
"384","2.1.2.2",199,3,52,NA,317,622,754,240,271,336,728,367,362,1041,210,227,522,411,734,312,189,538,638,4840,2756,864,660,1007,154,130,682,1388,422,266,48,468,351
"385","2.1.3.2",274,1986,2203,1826,1024,685,886,855,1255,1008,816,707,1220,185,427,2069,956,1402,745,371,244,1176,1644,946,1684,1133,420,776,875,752,380,151,1580,543,973,822,1002
"386","2.1.3.3",1827,2511,2531,2416,3950,2934,3617,4296,5283,4298,5822,3316,5844,2569,2224,6502,4181,2104,4613,2237,1039,5943,5533,8748,12577,4585,3900,5434,3449,2996,3109,3123,6117,2870,1396,3543,4157
"387","2.1.3.6",26,196,322,266,115,75,59,126,184,62,74,104,175,23,52,231,37,201,98,40,11,139,45,187,58,130,28,40,68,96,32,20,214,43,204,46,35
"388","2.1.3.9",15,NA,20,NA,131,108,167,64,79,94,429,51,304,92,29,57,157,17,272,218,37,143,208,28,28,60,145,216,187,251,38,76,127,92,15,162,134
"389","2.10.1.1",232,50,46,55,324,801,342,117,701,214,266,364,704,194,206,121,365,353,592,244,36,221,317,3135,2427,975,582,627,93,103,85,208,214,233,22,350,238
"390","2.2.1.1",2322,29,802,5,4337,6616,6371,3878,5926,3712,6599,4498,6795,12406,2563,4471,3942,3515,9520,4197,2026,9054,2520,27766,41191,6329,9824,14847,3283,2880,6352,17521,7267,3875,580,5905,2646
"391","2.2.1.2",954,16,230,3,3314,2983,2615,3731,3897,2310,3844,1587,2894,2723,1553,5005,2644,1431,1864,1329,596,3055,3969,745,10552,1080,2628,3327,1712,1323,2447,3744,4215,1570,1095,1975,2417
"392","2.2.1.6",2125,3029,3166,3274,3328,2555,2717,3923,5423,6239,5320,3680,7232,1582,2255,5533,5734,1772,4930,2264,1158,6652,8773,7750,8987,2280,4039,4500,5047,4026,2232,1770,6537,3148,1552,4407,6862
"393","2.2.1.7",1150,11,507,4,3004,4516,4759,1908,4884,4361,4288,3965,6426,6972,1500,2863,5389,2316,6476,3037,1808,6754,5742,15972,22250,5028,7048,9004,3068,2819,4012,9119,6190,2350,650,4111,4128
"394","2.2.1.9",95,NA,58,1,490,262,204,794,544,400,383,122,289,102,215,531,344,82,298,157,44,546,286,176,519,240,249,729,284,149,66,67,545,325,74,368,282
"395","2.3.1.1",4,NA,NA,NA,5,3,9,NA,6,2,7,4,16,2,8,6,4,NA,17,8,NA,10,8,NA,1,NA,66,50,22,5,6,NA,5,13,NA,59,11
"396","2.3.1.101",167,750,565,616,187,77,61,278,481,92,214,112,143,57,71,135,174,17,115,43,26,210,112,3,345,4,565,226,106,91,24,30,148,119,85,137,139
"397","2.3.1.117",743,6,171,13,649,1417,1745,170,819,592,1664,947,1283,2457,337,171,1023,1452,2241,961,700,1491,1475,9072,10903,2074,3272,3278,454,318,1978,3498,867,818,17,1654,972
"398","2.3.1.118",1,NA,1,NA,9,4,2,NA,1,NA,11,3,3,2,4,2,NA,2,16,NA,NA,11,NA,1,1,1,16,16,1,6,NA,NA,1,10,NA,9,NA
"399","2.3.1.12",274,3,48,NA,506,193,114,640,702,483,868,162,462,68,365,882,405,64,549,156,58,853,196,173,1843,467,485,613,401,368,125,51,393,449,99,548,231
"400","2.3.1.129",207,4,69,NA,308,496,524,194,581,124,838,571,784,614,207,360,214,332,892,372,198,736,121,2395,5273,665,889,1137,243,238,323,979,539,314,60,393,128
"401","2.3.1.136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","2.3.1.15",41,NA,7,NA,200,449,933,27,257,56,172,130,349,56,55,76,127,17,176,127,45,189,8,107,57,190,174,115,134,112,1174,31,72,84,6,344,60
"403","2.3.1.16",825,2021,1846,1900,1474,2505,2652,1168,1311,923,1528,558,840,1021,543,2608,853,242,958,543,272,1371,367,2309,2454,483,1355,1662,537,516,3306,1209,880,887,367,1302,371
"404","2.3.1.168",47,NA,NA,NA,25,4,6,16,47,42,35,19,38,2,12,57,13,NA,23,7,2,30,1,2,21,1,19,38,19,26,5,NA,23,28,21,41,8
"405","2.3.1.179",3696,22,772,8,6145,5508,4049,6770,10511,6331,9977,5178,9835,5836,4258,10432,6392,2154,8416,3478,1761,9905,9458,14881,35482,5702,6979,9638,5367,4348,1917,7386,10124,4806,1950,5416,7279
"406","2.3.1.180",148,5,40,NA,426,309,753,401,580,790,247,216,497,188,163,668,855,63,307,201,62,254,951,425,382,166,371,454,296,208,198,232,800,315,115,611,610
"407","2.3.1.181",215,2,61,NA,491,1066,1139,372,648,182,794,507,738,946,248,512,466,604,1043,444,123,679,210,4833,4638,989,1167,1434,303,211,1114,1272,536,350,64,894,216
"408","2.3.1.182",1270,2247,2078,2273,2284,1092,1793,2932,5948,4584,3535,3581,7349,624,2495,5698,4116,423,3618,1796,427,3609,7714,719,7949,1650,1641,2764,3542,3318,709,523,7240,2127,1409,2464,4755
"409","2.3.1.189",NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,4,1,1,NA,4,NA,1,2,NA,1,NA,2,NA,NA,6,14,3,NA,1,NA,2,3,NA,17,6
"410","2.3.1.191",165,NA,58,NA,190,339,287,95,250,98,499,294,354,625,91,171,114,200,585,253,96,521,108,1653,2337,414,618,888,120,82,221,845,186,200,30,306,83
"411","2.3.1.193",NA,NA,2,NA,39,43,16,NA,NA,NA,NA,14,6,NA,NA,NA,3,NA,9,1,NA,NA,NA,30,NA,3,NA,NA,6,NA,2,7,NA,NA,NA,16,NA
"412","2.3.1.20",49,NA,1,NA,23,11,9,8,14,40,76,20,51,9,28,23,45,9,74,47,1,40,13,1,119,1,130,70,59,36,19,3,29,63,NA,342,55
"413","2.3.1.200",NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"414","2.3.1.201",262,2,50,NA,455,283,311,351,704,512,627,465,623,198,267,775,289,28,712,342,85,359,150,2773,2350,710,621,728,480,438,199,202,639,337,175,338,217
"415","2.3.1.202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","2.3.1.203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","2.3.1.204",NA,NA,NA,NA,3,7,50,NA,NA,6,19,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,2,1,NA,3,NA,4,NA
"418","2.3.1.207",94,2,13,NA,72,250,1747,1,6,58,284,82,123,173,34,NA,127,7,239,172,262,134,7,13,11,44,530,370,102,66,2152,176,102,80,NA,471,63
"419","2.3.1.210",NA,NA,NA,NA,8,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA
"420","2.3.1.222",27,1,8,NA,33,8,38,4,72,8,21,22,33,19,67,59,12,NA,31,12,7,67,2,12,2,9,19,20,62,24,5,18,67,19,11,28,15
"421","2.3.1.227",NA,NA,NA,NA,1,5,364,NA,4,NA,2,4,8,16,NA,3,9,NA,10,1,9,5,4,15,15,24,56,12,6,6,654,14,4,3,NA,41,1
"422","2.3.1.228",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,4,NA,1,NA,6,NA,NA,NA,8,NA,NA,NA,3,3,NA,1,3,NA,NA,NA,NA,NA,NA
"423","2.3.1.229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,10,NA,NA,NA,5,NA,1,4,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,1
"424","2.3.1.230",NA,NA,NA,NA,21,9,5,44,14,6,15,15,23,2,6,26,1,1,23,9,1,15,3,7,6,2,14,10,16,9,2,1,12,11,3,3,9
"425","2.3.1.233",16,NA,NA,NA,1,1,NA,2,3,NA,2,1,NA,NA,NA,7,1,NA,5,1,2,9,2,NA,NA,NA,5,6,NA,NA,2,1,1,3,NA,3,NA
"426","2.3.1.234",1292,14,229,1,2383,2744,3603,2676,4225,2456,3540,2572,4137,2093,1448,4438,2672,1322,3502,1592,707,3604,4329,12228,15518,3163,3722,4709,2181,1953,3657,2166,3542,1957,687,3079,2608
"427","2.3.1.241",NA,3,NA,NA,30,43,19,NA,NA,NA,1,14,3,10,NA,NA,6,NA,3,8,2,3,2,NA,95,3,10,28,13,2,2,12,9,4,NA,11,NA
"428","2.3.1.242",6,NA,NA,NA,23,20,56,14,12,7,24,21,29,29,3,15,12,NA,22,6,2,4,NA,2,26,8,25,35,10,5,8,29,19,2,NA,18,2
"429","2.3.1.243",NA,NA,NA,NA,44,15,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,4,3,9,NA,NA,6,NA,4,NA,13,NA
"430","2.3.1.29",1457,2,323,NA,1076,1153,1173,768,2049,626,3016,1453,2780,650,1800,1471,738,131,3007,1512,576,4159,606,953,23020,2261,2248,3026,2081,1729,439,489,3500,1161,235,1560,794
"431","2.3.1.31",233,NA,92,NA,428,566,825,397,807,743,1216,979,1604,1527,259,1269,516,901,1218,605,376,1658,163,334,2232,374,1041,1571,1161,940,916,1898,1086,504,141,768,295
"432","2.3.1.37",345,15,101,3,355,195,225,122,201,609,1526,263,368,635,310,129,741,119,561,114,733,971,54,47,623,159,1298,491,374,191,431,449,515,347,11,535,30
"433","2.3.1.39",601,3,210,NA,878,1242,1987,911,2010,926,2283,1257,2336,1958,820,1578,902,809,2256,872,279,1916,890,7228,10747,1917,1907,3018,706,849,1821,2770,1853,820,273,1354,661
"434","2.3.1.41",2586,5,253,1,935,1041,1624,469,1414,617,6768,1326,2857,3119,5344,768,779,1101,2341,934,553,3140,317,2574,7083,1317,4384,3090,1484,1024,1998,4690,1309,2111,124,1983,375
"435","2.3.1.47",81,NA,14,NA,152,237,193,163,293,66,202,200,305,62,75,126,107,59,390,211,50,208,104,2760,2027,373,315,836,148,107,67,74,330,126,85,264,91
"436","2.3.1.54",78,NA,34,NA,314,165,679,8,22,273,337,144,267,377,139,66,217,80,657,878,237,144,101,115,11,355,987,1494,499,240,104,220,128,828,3,494,43
"437","2.3.1.57",NA,1,NA,NA,38,17,54,NA,1,NA,3,15,3,25,1,NA,7,NA,19,14,2,6,2,1,537,1,10,4,3,NA,10,27,2,8,NA,17,5
"438","2.3.1.61",817,12,114,11,1068,2005,2424,538,1300,935,2286,1102,1779,3032,530,613,1185,222,2358,1097,708,1660,568,9193,10614,2588,3745,3662,661,633,2790,4200,1319,1022,133,1868,552
"439","2.3.1.8",88,NA,74,NA,364,294,2778,207,384,135,436,336,617,210,143,384,291,16,809,427,279,793,72,495,728,284,543,839,499,407,3825,172,1284,210,52,821,133
"440","2.3.1.89",3,NA,NA,NA,31,21,29,42,48,42,32,4,13,6,1,146,27,NA,114,12,5,11,7,5,NA,2,5,35,17,6,3,2,41,15,14,21,8
"441","2.3.1.9",3310,769,1423,849,4460,5549,4278,5111,6900,3425,8884,3678,5370,9400,3519,7744,3665,1543,6612,2440,1575,8536,2015,2990,16136,3141,5814,9365,3845,2854,3355,12904,6269,3924,1380,4367,2135
"442","2.3.1.n2",368,3,67,NA,748,751,459,849,931,488,878,434,911,819,465,794,540,475,714,377,153,1083,1014,984,2946,507,763,849,481,381,214,1147,988,467,132,621,551
"443","2.3.1.n3",37,NA,2,1,111,65,122,108,169,88,133,116,260,48,48,193,130,2,210,119,33,142,51,79,218,201,134,241,146,136,44,57,195,59,55,99,54
"444","2.3.1.n4",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,7,NA,3,NA,NA,3,NA,2,NA
"445","2.3.2.13",43,NA,19,NA,100,125,489,49,249,27,205,157,282,380,79,61,74,91,497,209,25,211,53,1888,2482,387,425,626,34,59,359,517,129,118,7,297,86
"446","2.3.2.16",NA,NA,NA,NA,NA,4,67,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,14,NA,NA,1,NA,4,NA
"447","2.3.2.17",NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,5,2,NA,5,NA,3,NA
"448","2.3.2.18",NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,NA,2,NA,4,NA
"449","2.3.2.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","2.3.2.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","2.3.2.3",NA,NA,11,NA,NA,4,65,1,1,NA,56,NA,1,4,6,4,5,2,8,1,2,5,NA,2,NA,NA,4,6,3,NA,19,NA,NA,7,NA,2,NA
"452","2.3.3.13",1906,2455,2708,2335,3972,4249,3462,4402,6520,5241,5599,4471,7888,5583,2376,5414,5204,3411,6457,2974,1378,5837,10083,16199,29193,4979,6755,8441,3423,3189,1095,8153,6992,3076,1700,4201,6825
"453","2.3.3.16",1892,309,724,308,2417,3635,3682,1912,2555,1926,6327,2074,2816,4803,1974,2477,1974,312,4641,1700,1679,4542,1309,10746,15190,2415,6350,5870,1506,1093,4516,6654,2036,2315,275,3341,1020
"454","2.3.3.8",127,8,11,NA,74,38,80,90,115,450,429,90,77,60,2519,196,607,8,169,27,11,49,2085,23,6667,32,72,104,97,86,35,82,83,208,26,436,936
"455","2.3.3.9",495,20,147,NA,881,4039,4879,77,81,442,1308,557,466,7670,140,24,1450,134,2267,815,1183,1587,186,1519,250,338,2962,3108,461,208,5965,11746,588,453,1,1708,146
"456","2.4.1.1",757,2,392,1,830,747,715,642,1916,614,1459,1869,2421,3149,573,493,568,1388,3343,2192,938,4886,533,8130,672,1477,2911,4728,1228,931,337,4502,2415,1220,54,1173,523
"457","2.4.1.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"458","2.4.1.109",12,NA,6,NA,1,2,2,2,2,NA,12,3,12,NA,NA,2,4,4,4,NA,NA,12,NA,NA,NA,NA,12,54,21,4,3,NA,2,5,NA,69,12
"459","2.4.1.11",35,227,162,261,27,34,27,57,102,49,27,23,48,15,12,128,71,5,32,6,3,71,8,6,143,3,64,46,39,16,15,2,56,25,64,80,20
"460","2.4.1.129",45,NA,32,NA,171,658,345,16,176,23,165,115,145,379,48,63,122,101,295,134,40,115,53,352,525,165,394,464,31,30,178,530,86,112,4,268,43
"461","2.4.1.15",217,3,40,6,170,142,95,63,221,170,565,107,87,46,272,271,201,20,269,95,143,395,25,18,806,31,198,297,128,85,136,52,98,250,44,187,31
