"","EC","ARS","BQF","BQS","BQS1","BR1F","BRF1","BRF2","BRS1","BRS2","CYF","CYS","EPF","EPS","ESF9","ETS","FAS","MTF","PBS","PFF","PFS","PGF","PGS","PLS","QH2F","QHS1","QHS2","QNF","QNS","RSF","RSS","RVF","SIF","SIS","SLF","SLS","TCF","TCS"
"697","2.7.8.7",63,NA,14,NA,66,92,88,21,114,37,126,57,160,50,35,48,31,15,137,72,52,155,27,795,239,235,126,228,83,34,28,62,68,61,8,82,21
"698","2.7.9.2",1659,3333,2965,3418,3928,7409,8406,2605,4342,6592,5106,4865,3018,10267,1460,7887,8997,6353,8659,3666,1421,4982,13021,27683,42714,4781,7629,10822,2525,1383,9065,14962,8892,3724,2547,5941,7785
"699","2.8.1.1",615,215,492,319,1969,1159,291,2916,1504,2355,2644,150,424,77,698,3435,1303,58,426,134,55,826,390,70,3790,48,446,392,446,252,123,27,642,891,364,774,537
"700","2.8.1.10",1002,9,144,1,1187,844,1044,1494,1876,1755,2674,1046,1803,1232,1175,1665,2001,601,1646,1041,450,1595,3309,3327,7236,903,1461,1951,927,905,905,1374,1302,988,200,1135,2382
"701","2.8.1.2",9,NA,4,NA,44,15,7,2,27,5,136,7,17,26,23,18,29,3,31,8,70,57,5,NA,27,5,58,53,23,14,9,19,29,17,2,23,3
"702","2.8.1.4",48,144,116,124,264,459,311,135,156,56,162,31,38,27,25,125,52,NA,38,12,20,44,12,16,11,15,43,24,48,22,37,20,23,40,40,126,21
"703","2.8.1.6",786,14,105,NA,710,1569,2581,342,966,474,1534,1114,1178,2977,345,131,740,1028,1982,923,656,1576,446,9208,7511,1711,2860,3375,358,191,3334,3795,589,625,28,1482,447
"704","2.8.1.7",3728,22,816,9,6556,6162,6064,7454,9427,5088,11051,4867,7067,5895,4695,10503,4342,5859,8353,3874,1891,10093,2811,18522,40025,5529,8217,11229,3609,2919,5532,7592,7197,4542,2509,5362,2930
"705","2.8.1.8",1311,2,384,2,2787,3455,2915,3040,4174,2380,5050,2253,3617,4602,1742,4481,2598,2691,3278,1541,791,4198,3426,11436,19238,3394,4112,5675,1594,1347,2563,6614,3471,2079,684,2858,2506
"706","2.8.3.16",722,NA,42,NA,120,201,71,27,129,68,1157,87,238,358,311,141,73,166,451,230,133,1253,31,6,116,13,979,618,252,161,111,383,110,366,13,343,45
"707","2.8.3.19",184,4,13,NA,70,58,57,140,153,76,399,105,186,44,116,163,51,234,154,68,35,122,15,7,277,61,172,163,134,128,72,35,200,118,47,91,13
"708","2.8.3.21",6,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,7,NA,NA,3,NA,NA,NA,NA,7,4,4,NA,1,NA,NA,1,NA,7,NA
